customer_id,alert_id
09436776-79cf-44ab-b899-33280a5906fc,085aacb8-e7cb-4a48-964f-6f47f221ea43
488593fd-7fa6-4862-91c5-69cbe435e422,e233981f-de03-4889-ae64-b916b8d58ad6
f3b84568-1c51-477e-a4d4-74154480ac1f,da8b8df0-d22b-4b39-a812-f334d2783bbf
6f4092bc-67c1-4993-a410-f9b30a0f10c0,59f051cd-308a-43c8-a14b-6892b4d82273
edfd7ef8-63df-4a36-b404-574853008ece,b3c1ea98-0586-4f3b-9db3-7f8b2f2f1416
a563550e-7820-41f6-a803-365db7e6cadc,1eba39b0-4e1b-4f9a-9483-297e8cbd7915
9fb6a0a7-0411-4e5d-b2b3-a303673ee74e,5726e0c6-84f5-4900-afbf-c2396bb0e4b0
56739e3d-8d5c-47f7-8f1d-b58bc6bd0645,b34c325f-f61f-43a7-ae2d-df2312bdc3ee
2b7af501-c717-47db-b89e-e8c14febbdb5,0e1804a6-7b6d-4a31-993a-a189a91cf4ac
db6e4300-cf8b-4933-bfe4-a07e680d051e,05eda925-82fb-463a-8c8d-a3d3a8b0af2c
8792e2db-fdd9-4b5b-8dd5-b58dda4a3064,21a03a60-b9ab-4b83-a6bd-04cccc23cf61
c7d2e8e1-db58-4ad2-82c1-bd7e9e512ba1,8c16dc0b-c855-4fd8-b13c-18c75803d488
3b6215eb-fe27-4a24-871e-f9519db367b9,f9113a54-1995-40ef-a573-3e31d3186359
2b5be8bf-ec76-4c6e-84f1-73737376689a,6c151960-c00f-40ab-b703-88556dc41729
065c585a-9958-4c45-9d0a-1b5b87333ef8,173e77da-b33b-42d8-be50-6746ccf355c7
2fd4d98e-d88c-43ef-a8a5-a1fd82b9fd6f,5f78a790-5eb9-4f87-820c-d18fca98de12
4c4278de-4dd1-4b7f-b147-f1ec49d86f50,bc90d1c8-b59f-4a1a-8fc9-53e0ff8cd7ab
7b26729d-d2a1-4dec-bb5e-d58b16360195,11fa77f8-3811-4157-9156-a80b7b73b0ea
30516be7-b4e7-43d5-b9bf-5b589409b780,c850db00-531e-485f-a429-73c1eae4004b
28f9354c-a765-4b7c-b6ba-f7dd7be1889b,f483b83e-01dd-4f79-8c7b-2e872dc910e5
6a4ae5f5-7fb7-4095-bad5-74657fd92003,e344a898-06c0-403b-a347-6d93e38bd776
88a08408-d8d7-47d1-9f57-87a7cba9615d,bb8fea85-7115-48ff-86a5-1eef51db65c5
29d3f482-1bc8-4f55-aac0-c1a5e0061185,247c80e5-8c95-46f0-bf84-a7698dffd95c
abb49510-c814-46a6-aedc-d2961bdfe7f9,988b202b-425c-4301-9fd1-8dd474306522
2fb68e06-b7de-45bb-969e-2f4515e3d533,105f3355-2ef2-4991-a3b0-64263fbf6da5
aa3ba1f4-d40d-4ecf-873d-2108e8a0dc7f,6fc41e0d-9e2d-4384-837a-5e1efe171c4e
de84b626-77fa-49cc-8f42-dc5f0104b6a9,03d3bf62-15de-47cd-9650-35862622c4f3
ade55964-0fe8-4775-8417-88f6668d71ef,6dd531cb-87e8-481a-8a26-79c833a8d739
69f0ff4e-5d2d-475d-9e01-13bc948fc4fd,e04785e2-6266-4f77-b06a-c8843aa66f96
788f9810-90bb-439c-a5e3-5085827fb89a,2262da48-b79a-4db0-9d5d-4eaeeb82c5f7
37121e9a-49a0-41d7-af5d-391b06c097a0,b1acadf7-b636-43f8-be8c-aad35d1e90ef
231033a4-2ef9-49c3-b8ce-a8d64b0ef212,e0a2e1dc-08ec-42fe-973d-c464059419a8
f2f1cebb-6495-4f7d-97f7-d61835039575,f78b3b53-5696-4155-8b9f-a6193e340dd4
70e9f8d3-6985-48a9-b142-87c683f97a07,a59c8831-d747-4abc-a895-642135d9382a
43a275fe-f226-45d0-a5a3-a40f933f0bfb,6ed7868b-3a1f-482f-8198-02a7c0228f76
17c84436-c537-41ed-bea6-cce59c2e173b,98011eef-9c0b-4241-aaa8-156d62848936
72cd0dab-2834-4da5-bba3-6071df684fe7,76ceb3f0-6fd9-4ce1-addc-185f301be38e
854c8fd0-bc8d-4534-9a11-454a141b836b,a6ff292b-44f6-4267-8664-ff980b906321
aa9dd75d-876e-4a2d-af83-bee28f24aca3,3ce4eefa-4334-4611-a56e-c6fb0c1497a2
