customer_id,account_id
87271cc9-ba33-47b1-afc7-a3c2e87a5af5,cbfb252f-4d1e-408b-9273-211bcd8d65ec
87271cc9-ba33-47b1-afc7-a3c2e87a5af5,7d9027aa-5556-45a1-ac70-63c5d4cb5c27
3e331add-c718-49a5-a312-047bef7c4cca,e9f60282-65d2-4375-b82a-7092d5b025bb
53cb7176-8e69-4d64-ae9f-a3158ad37e24,c36fbb93-e877-41bb-8dc1-798afc972ffd
53cb7176-8e69-4d64-ae9f-a3158ad37e24,58c4b6fd-aee1-4365-9dc0-e546aca09914
53cb7176-8e69-4d64-ae9f-a3158ad37e24,a7983e83-8ce0-482e-891d-eebd9fb693e6
522ec381-cf64-4be0-8818-d9f3761bb3f6,1e3f9ed7-5b87-4817-b229-a2a653b37bf8
522ec381-cf64-4be0-8818-d9f3761bb3f6,d0fd63e0-37fc-4605-a81c-05ecafc936bc
493b91f9-6e11-4f3d-ad7b-cf6b9c5f51e8,c2c99640-4094-45f3-94ce-019818a44d52
493b91f9-6e11-4f3d-ad7b-cf6b9c5f51e8,ca7a5abb-fe51-46ca-9128-15a32e9cf901
ed0cbd37-e7e7-4f60-9243-01699a4b08be,1b95b914-47d7-450e-a24f-0094e2387c84
ed0cbd37-e7e7-4f60-9243-01699a4b08be,5ea411e2-daea-4857-85d3-c12a419dede8
ed0cbd37-e7e7-4f60-9243-01699a4b08be,eb4698d1-ed0c-415e-a8bb-c92f76afd807
bba80b09-5beb-41bb-abbe-ce33f82d366b,28dc6a85-c876-445c-8c7e-5a37fbf3137d
bba80b09-5beb-41bb-abbe-ce33f82d366b,f5597ea4-06cc-49f6-8a2b-d5e699984644
bba80b09-5beb-41bb-abbe-ce33f82d366b,0ebf983c-3082-477b-891f-c43f1608f500
27b04fb8-b291-4b8b-966b-2e5f68b56dd7,557504fa-be45-495b-bcf9-e17d6f7c7b11
27b04fb8-b291-4b8b-966b-2e5f68b56dd7,bb0028ed-dff5-477b-abd6-0e4b32fef634
27b04fb8-b291-4b8b-966b-2e5f68b56dd7,91efb1d8-a950-4c80-9a6b-449ccc6000de
d599cde1-97fd-4879-96ae-88e1a5344018,ff100c0d-f0ef-402a-af72-b01c604513a4
d599cde1-97fd-4879-96ae-88e1a5344018,1e76ea76-4ccd-43f8-93cd-f30259e5f404
d599cde1-97fd-4879-96ae-88e1a5344018,c9bed46a-b606-403b-be83-c530d7e098c5
29ca3e45-e0ab-4f04-9055-4f3ce569bd16,53c40d8a-0b4a-4c7a-bf74-0090e8b4696d
166597b2-a773-4822-b168-a856c596f0a0,20bce783-fcc1-4522-b80d-57d8f603daec
166597b2-a773-4822-b168-a856c596f0a0,971ae88a-d36a-404b-9106-e498c8e02e88
166597b2-a773-4822-b168-a856c596f0a0,fd254d1c-b6b6-40b8-886e-dbdd870cf60a
414a48c2-19db-4c09-b13a-b0eb0999e363,0a7a79f4-49da-44f5-896b-b65773426713
ed6497d4-45c4-47e8-9bae-b1e4501fa0d2,87db7771-27f6-4f08-82e1-4bb4fbba795a
ed6497d4-45c4-47e8-9bae-b1e4501fa0d2,48912c96-60cb-49a5-bcf8-763d51f90c7f
ed6497d4-45c4-47e8-9bae-b1e4501fa0d2,5ad62ae7-5c68-4fba-8f4a-c6e6493bb6b5
b0eb223b-65a9-486f-be83-3cf90538b701,b8ef58ed-7c82-40f9-9f47-b842ecd18902
b0eb223b-65a9-486f-be83-3cf90538b701,0dc65ce8-e141-4bf5-83b6-d058cc686ec6
0b3fd5ea-ed26-416a-a6b7-95e0e6b9473a,586a5cd0-ffa9-4c66-917b-3aed4c01b8dd
0b3fd5ea-ed26-416a-a6b7-95e0e6b9473a,ca4222d9-6c3c-43ff-b8d1-8b30aa4a3174
0a5e2cf5-9cfb-4295-98ab-858ee08c0b0c,2c2076a9-34c4-4f29-afaf-0f808aaa79d9
8ce97ecd-a020-4ecd-86bf-d917b6b83649,02983576-b88c-435e-9ad8-fc53152fc240
8ce97ecd-a020-4ecd-86bf-d917b6b83649,7f94ddf7-f100-4845-b34f-e0031f954c4e
8ce97ecd-a020-4ecd-86bf-d917b6b83649,7add1904-93b1-457e-bb2e-ced96acaed21
88d51707-6db2-42ab-b4e4-49107e52fe7a,e90a5b63-9d9b-498b-82c6-4e3af5273ecb
88d51707-6db2-42ab-b4e4-49107e52fe7a,c0444262-d550-4c33-90a9-a417e018cea1
